product_id,url,domain,category,subcategory,product_name
ind8050147622315,https://www.cdiscount.com/electromenager/refrigerateur-congelateur/indesit-li8sn1ex-refrigerateur-congelateur-bas-3/f-1100309-ind8050147622315.html,www.cdiscount.com,electromenager,refrigerateur-congelateur,indesit-li8sn1ex-refrigerateur-congelateur-bas-3
ind8050147664377,https://www.cdiscount.com/electromenager/lavage-sechage/lave-linge-hublot-indesit-mtwa81295weu-mytime-8/f-1100104-ind8050147664377.html,www.cdiscount.com,electromenager,lavage-sechage,lave-linge-hublot-indesit-mtwa81295weu-mytime-8
indh8a1es,https://www.cdiscount.com/electromenager/refrigerateur-congelateur/refrigerateur-congelateur-bas-hotpoint-h8-a1e-s/f-1100309-indh8a1es.html,www.cdiscount.com,electromenager,refrigerateur-congelateur,refrigerateur-congelateur-bas-hotpoint-h8-a1e-s
inv122806,https://www.cdiscount.com/bricolage/chauffage/inverter-5008-3200-watts-poele-a-petrole-elect/f-166120504-inv122806.html,www.cdiscount.com,bricolage,chauffage,inverter-5008-3200-watts-poele-a-petrole-elect
inv3244339409944,https://www.cdiscount.com/bricolage/chauffage/poele-a-granules-modulable-invicta-adrano-7-3-kw/f-166120302-inv3244339409944.html,www.cdiscount.com,bricolage,chauffage,poele-a-granules-modulable-invicta-adrano-7-3-kw
inv641874,https://www.cdiscount.com/bricolage/chauffage/poele-a-granules-modulable-invicta-nola-7-7-kw/f-166120302-inv641874.html,www.cdiscount.com,bricolage,chauffage,poele-a-granules-modulable-invicta-nola-7-7-kw
ironch4gr,https://www.cdiscount.com/jardin/mobilier-de-jardin/lot-de-4-chaises-de-jardin-acier-gris/f-1631605-ironch4gr.html,www.cdiscount.com,jardin,mobilier-de-jardin,lot-de-4-chaises-de-jardin-acier-gris
irontab90gr,https://www.cdiscount.com/jardin/mobilier-de-jardin/table-de-jardin-ronde-90-cm-acier-gris/f-1631603-irontab90gr.html,www.cdiscount.com,jardin,mobilier-de-jardin,table-de-jardin-ronde-90-cm-acier-gris
jab5707055055089,https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jabra-ecouteurs-sans-fil-jabra-elite-4-active/f-1065420-jab5707055055089.html,www.cdiscount.com,high-tech,casques-baladeur-hifi,jabra-ecouteurs-sans-fil-jabra-elite-4-active
jab5707055055201,https://www.cdiscount.com/high-tech/casques-baladeur-hifi/jabra-ecouteurs-sans-fil-jabra-elite-4-active/f-1065420-jab5707055055201.html,www.cdiscount.com,high-tech,casques-baladeur-hifi,jabra-ecouteurs-sans-fil-jabra-elite-4-active
jac3440890405399,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/baignoire-rectangulaire-brive-170x75-cm-blanche-ja/f-1661003-jac3440890405399.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,baignoire-rectangulaire-brive-170x75-cm-blanche-ja
jac3440892323660,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/jacob-delafon-pare-bain-struktura-chrome/f-166100307-jac3440892323660.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,jacob-delafon-pare-bain-struktura-chrome
jac3440893011856,https://www.cdiscount.com/bricolage/sanitaire-salle-de-bain/baignoire-rectangulaire-evok-balneo-massdream-17/f-1661003-jac3440893011856.html,www.cdiscount.com,bricolage,sanitaire-salle-de-bain,baignoire-rectangulaire-evok-balneo-massdream-17
