PRODUCT_ID,DATEJ,TYPE,PRIXMOY,IPMOY,NBNOUVEAUX,CLIENTS,PCTG
0397ENSE,06/03/2024,1P,51999,"94,74401596",0,10,0
0397ENSE,08/03/2024,1P,49999,"91,41954787",0,5,0
0397ENSE,10/03/2024,1P,49999,"91,41954787",0,0,0
0397ENSE,11/03/2024,1P,49999,"91,41954787",0,5,0
0397ENSE,12/03/2024,1P,49999,"91,41954787",0,5,0
0397ENSE,13/03/2024,1P,49999,"91,41954787",0,15,0
0397ENSE,14/03/2024,1P,49999,"91,41954787",0,0,0
0397ENSE,15/03/2024,1P,49999,"91,41954787",0,5,0
0397ENSE,16/03/2024,1P,49999,"91,41954787",0,5,0
0397ENSE,17/03/2024,1P,49999,"91,41954787",0,0,0
0397ENSE,18/03/2024,1P,49999,"91,41954787",0,0,0
0397ENSE,20/03/2024,1P,49999,"91,29965637",0,0,0
0397ENSE,21/03/2024,1P,49999,"91,29965637",0,5,0
0397ENSE,22/03/2024,1P,49999,"91,29965637",0,0,0
0397ENSE,24/03/2024,1P,49999,"91,29965637",0,5,0
0397ENSE,25/03/2024,1P,49999,"91,29965637",0,5,0
0397ENSE,26/03/2024,1P,49999,"91,29965637",0,5,0
0397ENSE,27/03/2024,1P,49999,"91,29965637",0,5,0
0397ENSE,29/03/2024,1P,49999,"89,44800442",0,10,0
0397ENSE,30/03/2024,1P,49999,"89,44800442",0,0,0
0397ENSE,31/03/2024,1P,49999,"89,44800442",0,15,0
0397ENSE,01/04/2024,1P,49999,"89,44800442",0,10,0
0397ENSE,02/04/2024,1P,49999,"89,44800442",0,5,0
0397ENSE,03/04/2024,1P,49999,"89,44800442",0,0,0
0397ENSE,04/04/2024,1P,49999,"89,44800442",0,5,0
0397ENSE,05/04/2024,1P,49999,"89,44800442",0,0,0
0397ENSE,06/04/2024,1P,49999,"89,44800442",0,0,0
0397ENSE,07/04/2024,1P,49999,"89,44800442",0,10,0
0397ENSE,08/04/2024,1P,49999,"89,44800442",0,0,0
0397ENSE,10/04/2024,1P,49999,"89,44800442",0,5,0
0397ENSE,11/04/2024,1P,49999,"89,44800442",0,5,0
